ssn;nif;nome;telefone;morada;data_nasc
91867244537;482107780;Leonardo Ribeiro;949793463;Praça do Comércio, 36, 2864-613 Almada;'2008-03-04'
62117156728;598129733;António Ferreira;960941724;Avenida dos Aliados, 100, 5053-552 Braga;'1982-01-17'
91981333040;409281002;Rui Marques;936589627;Rua das Amendoeiras, 84, 4095-749 Porto;'1958-03-30'
77698284881;620795282;Vanessa Machado;962067222;Travessa da Esperança, 17, 9035-668 Funchal;'1998-04-21'
82508315593;952697388;João Braga;920362666;Travessa da Felicidade, 68, 4101-004 Porto;'2000-09-24'
58621666331;071154622;Ana Oliveira;908137013;Avenida Central, 11, 4171-948 Porto;'1952-07-05'
34056529910;838236127;Ana Alves;940701896;Avenida da Lua, 76, 4869-780 Guimarães;'2003-01-11'
42389490682;705066000;Vânia Teles;970086184;Travessa das Sombras, 34, 2403-416 Leiria;'1970-09-24'
70668604123;457461504;Kevin Oliveira;936524120;Travessa das Papoilas, 30, 1849-303 Lisboa;'1953-07-29'
92497411134;489952394;Catarina Melo;900267548;Travessa das Papoilas, 18, 9140-165 Funchal;'1999-04-20'
36813564941;149912597;Isabel Fonseca;966803671;Travessa das Oliveiras, 94, 2780-063 Oeiras;'1988-06-29'
42608526014;556303323;Catarina Valente;943042831;Avenida dos Ventos, 93, 4540-284 Vila Nova de Gaia;'1960-09-13'
10573614515;637750033;Amélia Cruz;983787585;Travessa dos Lírios, 10, 1064-836 Lisboa;'2012-04-04'
44505393751;110728000;Fábio Matos;902777201;Praça do Comércio, 50, 3141-863 Coimbra;'1963-03-05'
29676562974;187570594;Jacinto Costa;930171620;Avenida das Acácias, 29, 1912-468 Lisboa;'1999-10-30'
75751417434;151544381;Dinis Batista;950337557;Rua das Magnólias, 2, 9284-036 Funchal;'1987-12-30'
97022728652;536846944;Andreia Henriques;960227598;Praça do Amor, 69, 2715-404 Sintra;'1992-11-30'
65338120723;500265204;Viviane Valente;964154768;Rua dos Girassóis, 28, 8235-418 Faro;'1999-04-27'
32038706007;294477223;Dinis Martins;965498758;Travessa do Sol, 76, 4805-511 Guimarães;'2012-08-04'
01099668173;459906076;Tatiana Cunha;914542354;Travessa dos Lírios, 29, 4460-021 Vila Nova de Gaia;'1982-02-14'
