nif;nome_clinica;dia_da_semana
972144381;Clinica Oeiras Saúde;0
972144381;Clinica Cascais Bem-Estar;1
972144381;Clinica Lisboa Central;2
972144381;Clinica Cascais Bem-Estar;3
972144381;Clinica Cascais Bem-Estar;4
972144381;Clinica Lisboa Central;5
972144381;Clinica Oeiras Saúde;6
442747806;Clinica Cascais Bem-Estar;0
442747806;Clinica Almada Saúde;1
442747806;Clinica Almada Saúde;2
442747806;Clinica Sintra Cuidados;3
442747806;Clinica Cascais Bem-Estar;4
442747806;Clinica Oeiras Saúde;5
442747806;Clinica Almada Saúde;6
151952233;Clinica Almada Saúde;0
151952233;Clinica Almada Saúde;1
151952233;Clinica Sintra Cuidados;2
151952233;Clinica Sintra Cuidados;3
151952233;Clinica Lisboa Central;4
151952233;Clinica Oeiras Saúde;5
151952233;Clinica Cascais Bem-Estar;6
912904251;Clinica Cascais Bem-Estar;0
912904251;Clinica Lisboa Central;1
912904251;Clinica Lisboa Central;2
912904251;Clinica Lisboa Central;3
912904251;Clinica Almada Saúde;4
912904251;Clinica Almada Saúde;5
912904251;Clinica Almada Saúde;6
461564116;Clinica Cascais Bem-Estar;0
461564116;Clinica Cascais Bem-Estar;1
461564116;Clinica Lisboa Central;2
461564116;Clinica Cascais Bem-Estar;3
461564116;Clinica Oeiras Saúde;4
461564116;Clinica Lisboa Central;5
461564116;Clinica Oeiras Saúde;6
039214994;Clinica Oeiras Saúde;0
039214994;Clinica Lisboa Central;1
039214994;Clinica Lisboa Central;2
039214994;Clinica Lisboa Central;3
039214994;Clinica Sintra Cuidados;4
039214994;Clinica Oeiras Saúde;5
039214994;Clinica Lisboa Central;6
547894467;Clinica Sintra Cuidados;0
547894467;Clinica Almada Saúde;1
547894467;Clinica Almada Saúde;2
547894467;Clinica Sintra Cuidados;3
547894467;Clinica Oeiras Saúde;4
547894467;Clinica Almada Saúde;5
547894467;Clinica Sintra Cuidados;6
238707853;Clinica Sintra Cuidados;0
238707853;Clinica Lisboa Central;1
238707853;Clinica Lisboa Central;2
238707853;Clinica Almada Saúde;3
238707853;Clinica Lisboa Central;4
238707853;Clinica Almada Saúde;5
238707853;Clinica Cascais Bem-Estar;6
727962845;Clinica Cascais Bem-Estar;0
727962845;Clinica Almada Saúde;1
727962845;Clinica Lisboa Central;2
727962845;Clinica Lisboa Central;3
727962845;Clinica Cascais Bem-Estar;4
727962845;Clinica Sintra Cuidados;5
727962845;Clinica Oeiras Saúde;6
278272741;Clinica Oeiras Saúde;0
278272741;Clinica Oeiras Saúde;1
278272741;Clinica Almada Saúde;2
278272741;Clinica Lisboa Central;3
278272741;Clinica Cascais Bem-Estar;4
278272741;Clinica Lisboa Central;5
278272741;Clinica Lisboa Central;6
361716823;Clinica Oeiras Saúde;0
361716823;Clinica Almada Saúde;1
361716823;Clinica Sintra Cuidados;2
361716823;Clinica Cascais Bem-Estar;3
361716823;Clinica Lisboa Central;4
361716823;Clinica Sintra Cuidados;5
361716823;Clinica Oeiras Saúde;6
331908097;Clinica Cascais Bem-Estar;0
331908097;Clinica Cascais Bem-Estar;1
331908097;Clinica Lisboa Central;2
331908097;Clinica Oeiras Saúde;3
331908097;Clinica Oeiras Saúde;4
331908097;Clinica Almada Saúde;5
331908097;Clinica Cascais Bem-Estar;6
148321684;Clinica Sintra Cuidados;0
148321684;Clinica Lisboa Central;1
148321684;Clinica Oeiras Saúde;2
148321684;Clinica Oeiras Saúde;3
148321684;Clinica Sintra Cuidados;4
148321684;Clinica Cascais Bem-Estar;5
148321684;Clinica Almada Saúde;6
201827526;Clinica Sintra Cuidados;0
201827526;Clinica Sintra Cuidados;1
201827526;Clinica Cascais Bem-Estar;2
201827526;Clinica Cascais Bem-Estar;3
201827526;Clinica Cascais Bem-Estar;4
201827526;Clinica Lisboa Central;5
201827526;Clinica Almada Saúde;6
187494696;Clinica Lisboa Central;0
187494696;Clinica Almada Saúde;1
187494696;Clinica Cascais Bem-Estar;2
187494696;Clinica Cascais Bem-Estar;3
187494696;Clinica Cascais Bem-Estar;4
187494696;Clinica Lisboa Central;5
